"bin_midpoint","stage.x","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method","label","color","n_cells","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","sum_nT","mean_nT","median_nT","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","slope_direction","bin","stage.y","short","bottom","top","dur","climate_state","climate_color"
200.45,"Hettangian","Northern",0.0271108598127265,30.6696576057383,0.568995568835609,-1.08812045510507,1.14234217473052,0.963038238316251,0.000252183558668615,11,"grid_cell_all_cells_OLS","good","Northern",11,3,15.5462647432579,67.5278428630317,51.9815781197738,674,61.2727272727273,24,0.679178772314311,1.40589926421047,0,"reverse_LDG",56,"Hettangian","Het",201.4,199.5,1.9,"Transitional","#E4E4E4"
203.55,"Rhaetian","Northern",-0.318859518672507,42.1039968074621,0.280704369180294,-0.869040082265883,0.231321044920868,0.278165066841567,0.0970878085487974,14,"grid_cell_all_cells_OLS","good","Northern",14,3,15.5462647432579,86.38745577256,70.8411910293021,1820,130,16,0.788366232377769,1.92666515849871,0.142857142857143,"normal_LDG",55,"Rhaetian","Rha",205.7,201.4,4.3,"Coolhouse","#B3D8D0"
216.5,"Norian","Northern",-0.198315809853878,33.3053522612,0.272671506139411,-0.732751961887123,0.336120342179367,0.476935766574066,0.0301771790352559,19,"grid_cell_all_cells_OLS","good","Northern",19,3,3.61254422601775,79.8413809657469,76.2288367397291,1537,80.8947368421053,54,0.831392052669396,1.69164763048724,0.157894736842105,"normal_LDG",54,"Norian","Nor",227.3,205.7,21.6,"Transitional","#E4E4E4"
232.15,"Carnian","Northern",-0.191575826262093,20.5819904218763,0.184152000753981,-0.552513747739897,0.16936209521571,0.312764622361062,0.0598516332186499,19,"grid_cell_all_cells_OLS","good","Northern",19,3,3.6522458208122,86.38745577256,82.7352099517478,2902,152.736842105263,25,0.874071227115922,1.8023531126321,0.157894736842105,"normal_LDG",53,"Carnian","Car",237,227.3,9.7,"Transitional","#E4E4E4"
239.232,"Ladinian","Northern",-0.319283842990285,32.69695054986,0.26700812632057,-0.842619770578603,0.204052084598032,0.254876074504654,0.106471218840636,14,"grid_cell_all_cells_OLS","good","Northern",14,3,4.08713792685411,79.841380966896,75.7542430400419,1257,89.7857142857143,57.5,0.522801246915229,1.11105917164245,0,"normal_LDG",52,"Ladinian","Lad",241.464,237,4.464,"Coolhouse","#B3D8D0"
244.082,"Anisian","Northern",-0.305138546420548,49.103381268628,0.388815328257969,-1.06721658980617,0.456939496965071,0.445653978274953,0.0421387788734511,16,"grid_cell_all_cells_OLS","good","Northern",16,3,1.89529855723834e-09,65.0900301585986,65.0900301567033,3585,224.0625,125,0.717298578500955,1.82856119825238,0.125,"normal_LDG",51,"Anisian","Ani",246.7,241.464,5.236,"Warmhouse","#DECABC"
248.3,"Olenekian","Northern",0.0689486957655925,43.8457592996246,0.374950053197001,-0.665953408500529,0.803850800031714,0.856738402547224,0.00240951444699866,16,"grid_cell_all_cells_OLS","good","Northern",16,3,3.81498050304599e-09,65.0900301585986,65.0900301547836,1345,84.0625,25,0.461343815485866,0.8592481478421,0,"reverse_LDG",50,"Olenekian","Ole",249.9,246.7,3.2,"Warmhouse","#DECABC"
250.901,"Induan","Northern",-0.122033379749335,38.9298251762631,0.221205310117939,-0.555595787580496,0.311529028081825,0.586731800031535,0.0136450995396306,24,"grid_cell_all_cells_OLS","good","Northern",24,3,3.81498050304599e-09,79.1899781207881,79.1899781169731,3330,138.75,51,0.503123295498425,1.69931122112038,0.0833333333333333,"normal_LDG",49,"Induan","Ind",251.902,249.9,2.002,"Hothouse","#D6B6B7"
253.021,"Changhsingian","Northern",-0.576135978034822,47.0542590309778,0.278191333222419,-1.12139099115076,-0.0308809649188798,0.0605800413102302,0.263309543027171,14,"grid_cell_all_cells_OLS","good","Northern",14,3,5.59231793698182e-09,79.1899781207881,79.1899781151958,4279,305.642857142857,85,0.438682203839719,1.18006634467245,0,"normal_LDG",48,"Changhsingian","Chg",254.14,251.902,2.238,"Coldhouse","#B2CCC7"
256.825,"Wuchiapingian","Northern",-0.410323701917027,42.146502992564,0.255111850780211,-0.91034292944624,0.0896955256121856,0.122003739001082,0.105217232009256,24,"grid_cell_all_cells_OLS","good","Northern",24,3,3.81498050304599e-09,73.8495458967467,73.8495458929317,5382,224.25,124,0.584880632692598,1.69931122112038,0.0416666666666667,"normal_LDG",47,"Wuchiapingian","Wuc",259.51,254.14,5.37,"Coolhouse","#B3D8D0"
261.895,"Capitanian","Northern",-0.389826632372172,45.0053407419256,0.27182225406221,-0.922598250334103,0.142944985589759,0.173494802257086,0.12809035760798,16,"grid_cell_all_cells_OLS","good","Northern",16,3,5.62411473439474e-10,73.8495458967467,73.8495458961843,2548,159.25,39.5,0.99063451970882,1.95496381380396,0.375,"normal_LDG",46,"Capitanian","Cap",264.28,259.51,4.77,"Coolhouse","#B3D8D0"
265.59,"Wordian","Northern",-0.394705656966592,44.5138868470927,0.176435843080696,-0.740519909404755,-0.0488914045284284,0.0434284534454632,0.27796400653369,15,"grid_cell_all_cells_OLS","good","Northern",15,3,3.61254422897399,79.1899781207881,75.5774338918141,1688,112.533333333333,54,0.779905215817451,1.62889949291955,0.0666666666666667,"normal_LDG",45,"Wordian","Wor",266.9,264.28,2.62,"Coolhouse","#B3D8D0"
270.65,"Roadian","Northern",-0.363972853506637,33.6366966574784,0.204915804226844,-0.765607829791252,0.0376621227779771,0.0889313013547531,0.120624030276159,25,"grid_cell_all_cells_OLS","good","Northern",25,3,3.61254422897399,73.8495458967467,70.2370016677727,3985,159.4,93,0.588993659775858,1.60839325422232,0.04,"normal_LDG",44,"Roadian","Roa",274.4,266.9,7.5,"Coldhouse","#B2CCC7"
