"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","resample_id","k_sample","slope_filter_id"
0.00585,"Holocene","Northern",-0.537721651079486,57.4040152013356,0.405907836976075,-1.33330101155259,0.257857709393621,0.214732287177451,0.149293215027845,12,85,1,"occurrence5"
0.00585,"Holocene","Northern",-0.452294129814152,48.6738363588228,0.318361217612371,-1.0762821163344,0.171693856706096,0.1858272442455,0.167940670520716,12,86,1,"occurrence5"
0.00585,"Holocene","Northern",-0.484251141441981,56.9493031410372,0.387576667895933,-1.24390141051801,0.275399127634048,0.239959183983453,0.135029148599927,12,87,1,"occurrence5"
0.00585,"Holocene","Northern",-0.548912583324487,57.4423717023454,0.408336407338877,-1.34925194170869,0.251426775059712,0.208562522560545,0.153048389739064,12,88,1,"occurrence5"
0.00585,"Holocene","Northern",-0.534775812543889,57.8223665177108,0.399691649783761,-1.31817144612006,0.248619821032281,0.21053497180253,0.151835538311164,12,89,1,"occurrence5"
0.00585,"Holocene","Northern",-0.498603441254926,56.6544692036528,0.395198458601884,-1.27319242011462,0.275985537604766,0.235707834764187,0.137318907283186,12,90,1,"occurrence5"
0.00585,"Holocene","Northern",-0.484251141441981,56.9493031410372,0.387576667895933,-1.24390141051801,0.275399127634048,0.239959183983453,0.135029148599927,12,91,1,"occurrence5"
0.00585,"Holocene","Northern",-0.498603441254926,56.6544692036528,0.395198458601884,-1.27319242011462,0.275985537604766,0.235707834764187,0.137318907283186,12,92,1,"occurrence5"
0.00585,"Holocene","Northern",-0.534775812543889,57.8223665177108,0.399691649783761,-1.31817144612006,0.248619821032281,0.21053497180253,0.151835538311164,12,93,1,"occurrence5"
0.00585,"Holocene","Northern",-0.40080310924026,47.72498105939,0.309582069053239,-1.00758396458461,0.205977746104088,0.224532621823466,0.143552656452017,12,94,1,"occurrence5"
0.00585,"Holocene","Northern",-0.404418755839057,47.3772325421335,0.314399026038537,-1.02064084687459,0.211803335196475,0.227312919503983,0.141971706485602,12,95,1,"occurrence5"
0.00585,"Holocene","Northern",-0.414273890222028,47.3560944891451,0.317150195799514,-1.03588827398908,0.20734049354502,0.220716715126399,0.145756187257633,12,96,1,"occurrence5"
0.00585,"Holocene","Northern",-0.40080310924026,47.72498105939,0.309582069053239,-1.00758396458461,0.205977746104088,0.224532621823466,0.143552656452017,12,97,1,"occurrence5"
0.00585,"Holocene","Northern",-0.46944318234769,48.4829077907399,0.324304775530089,-1.10508054238666,0.166194177691284,0.178359665754408,0.173236921796904,12,98,1,"occurrence5"
0.00585,"Holocene","Northern",-0.534775812543889,57.8223665177108,0.399691649783761,-1.31817144612006,0.248619821032281,0.21053497180253,0.151835538311164,12,99,1,"occurrence5"
0.00585,"Holocene","Northern",-0.40080310924026,47.72498105939,0.309582069053239,-1.00758396458461,0.205977746104088,0.224532621823466,0.143552656452017,12,100,1,"occurrence5"
0.00585,"Holocene","Southern",0.221676530154911,15.3964553721481,0.38493957470173,-0.53280503626048,0.976158096570303,0.5856362407742,0.0523767746896802,8,1,1,"occurrence5"
0.00585,"Holocene","Southern",0.142804432233213,19.6695236058948,0.352292750123734,-0.547689358009307,0.833298222475733,0.699272838845955,0.0266557662920817,8,2,1,"occurrence5"
0.00585,"Holocene","Southern",0.249938184126706,18.7556351054213,0.40288065038006,-0.539707890618211,1.03958425887162,0.557821628824534,0.0602782231874406,8,3,1,"occurrence5"
0.00585,"Holocene","Southern",0.196116959546815,21.8777382209261,0.370685778121893,-0.530427165572095,0.922661084665724,0.615752565622758,0.0445722988434417,8,4,1,"occurrence5"
0.00585,"Holocene","Southern",0.249938184126706,18.7556351054213,0.40288065038006,-0.539707890618211,1.03958425887162,0.557821628824534,0.0602782231874406,8,5,1,"occurrence5"
0.00585,"Holocene","Southern",0.221676530154911,15.3964553721481,0.38493957470173,-0.53280503626048,0.976158096570303,0.5856362407742,0.0523767746896802,8,6,1,"occurrence5"
0.00585,"Holocene","Southern",0.142804432233213,19.6695236058948,0.352292750123734,-0.547689358009307,0.833298222475733,0.699272838845955,0.0266557662920817,8,7,1,"occurrence5"
0.00585,"Holocene","Southern",0.277797158548757,17.5548371507727,0.414526982032582,-0.534675726235104,1.09027004333262,0.527695064506862,0.0696386583319615,8,8,1,"occurrence5"
0.00585,"Holocene","Southern",0.221676530154911,15.3964553721481,0.38493957470173,-0.53280503626048,0.976158096570303,0.5856362407742,0.0523767746896802,8,9,1,"occurrence5"
0.00585,"Holocene","Southern",0.196116959546815,21.8777382209261,0.370685778121893,-0.530427165572095,0.922661084665724,0.615752565622758,0.0445722988434417,8,10,1,"occurrence5"
0.00585,"Holocene","Southern",0.249938184126706,18.7556351054213,0.40288065038006,-0.539707890618211,1.03958425887162,0.557821628824534,0.0602782231874406,8,11,1,"occurrence5"
0.00585,"Holocene","Southern",0.142804432233213,19.6695236058948,0.352292750123734,-0.547689358009307,0.833298222475733,0.699272838845955,0.0266557662920817,8,12,1,"occurrence5"
