"bin_midpoint","stage","hemisphere","label","n_cells","n_lat_bins","min_abs_lat","max_abs_lat","min_abs_lat_bin_mid","max_abs_lat_bin_mid","n_cells_ge_60","n_cells_ge_66_5","n_cells_ge_70","n_cells_ge_75","prop_cells_ge_60","prop_cells_ge_66_5","prop_cells_ge_70","prop_cells_ge_75","reaches_60","reaches_66_5","reaches_70","reaches_75"
25.17,"Chattian","Southern","good",24,4,4.83161937714478,62.3515320611258,4.797034,73.221345,1,0,0,0,0.0416666666666667,0,0,0,TRUE,FALSE,FALSE,FALSE
30.6,"Rupelian","Northern","good",110,6,4.07094592376196,67.2811723040696,4.797034,73.221345,5,1,0,0,0.0454545454545455,0.00909090909090909,0,0,TRUE,TRUE,FALSE,FALSE
30.6,"Rupelian","Southern","bad",20,4,6.05255156753039,77.9707827231072,4.797034,73.221345,1,1,1,1,0.05,0.05,0.05,0.05,TRUE,TRUE,TRUE,TRUE
35.805,"Priabonian","Northern","good",107,6,2.38733075400166,67.2811723040696,4.797034,73.221345,3,1,0,0,0.0280373831775701,0.00934579439252336,0,0,TRUE,TRUE,FALSE,FALSE
35.805,"Priabonian","Southern","bad",25,5,4.8110029628806,77.9707827231072,4.797034,73.221345,2,1,1,1,0.08,0.04,0.04,0.04,TRUE,TRUE,TRUE,TRUE
39.37,"Bartonian","Northern","good",68,6,6.60667231547332,62.3322792104327,4.797034,73.221345,2,0,0,0,0.0294117647058824,0,0,0,TRUE,FALSE,FALSE,FALSE
39.37,"Bartonian","Southern","bad",18,3,6.05255156753039,63.2969896011457,4.797034,73.221345,1,0,0,0,0.0555555555555556,0,0,0,TRUE,FALSE,FALSE,FALSE
44.55,"Lutetian","Northern","good",102,6,1.21916722992874,64.8793185994702,4.797034,73.221345,4,0,0,0,0.0392156862745098,0,0,0,TRUE,FALSE,FALSE,FALSE
44.55,"Lutetian","Southern","good",16,4,1.19733042047255e-09,63.2969896011457,4.797034,73.221345,1,0,0,0,0.0625,0,0,0,TRUE,FALSE,FALSE,FALSE
52.035,"Ypresian","Northern","good",87,6,1.36770949030931,65.7014703282673,4.797034,73.221345,1,0,0,0,0.0114942528735632,0,0,0,TRUE,FALSE,FALSE,FALSE
52.035,"Ypresian","Southern","good",22,4,1.23588259077903e-09,63.2969896011457,4.797034,73.221345,3,0,0,0,0.136363636363636,0,0,0,TRUE,FALSE,FALSE,FALSE
57.62,"Thanetian","Northern","good",54,6,4.73912066088779,72.0740681049142,4.797034,73.221345,3,2,1,0,0.0555555555555556,0.037037037037037,0.0185185185185185,0,TRUE,TRUE,TRUE,FALSE
57.62,"Thanetian","Southern","bad",16,4,1.23588259077903e-09,63.0271978020962,4.797034,73.221345,2,0,0,0,0.125,0,0,0,TRUE,FALSE,FALSE,FALSE
60.45,"Selandian","Northern","bad",23,4,6.19659264220323,69.6311037561403,4.797034,73.221345,3,2,0,0,0.130434782608696,0.0869565217391304,0,0,TRUE,TRUE,FALSE,FALSE
60.45,"Selandian","Southern","bad",5,4,2.38733075127126,56.7358597666077,4.797034,73.221345,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
63.83,"Danian","Northern","bad",67,6,8.81004893857842,79.841380965747,4.797034,73.221345,2,1,1,1,0.0298507462686567,0.0149253731343284,0.0149253731343284,0.0149253731343284,TRUE,TRUE,TRUE,TRUE
63.83,"Danian","Southern","good",17,6,2.40271438372796,64.0336165596296,4.797034,73.221345,1,0,0,0,0.0588235294117647,0,0,0,TRUE,FALSE,FALSE,FALSE
69.1,"Maastrichtian","Northern","good",171,6,4.73912066088779,73.6605464128538,4.797034,73.221345,4,3,3,0,0.0233918128654971,0.0175438596491228,0.0175438596491228,0,TRUE,TRUE,TRUE,FALSE
69.1,"Maastrichtian","Southern","good",41,6,2.36363383047084,64.562482167559,4.797034,73.221345,2,0,0,0,0.048780487804878,0,0,0,TRUE,FALSE,FALSE,FALSE
77.9,"Campanian","Northern","good",181,6,2.51467382507857,71.9435853513676,4.797034,73.221345,11,7,5,0,0.0607734806629834,0.0386740331491713,0.0276243093922652,0,TRUE,TRUE,TRUE,FALSE
77.9,"Campanian","Southern","good",46,6,1.33534362616559,62.7992348401569,4.797034,73.221345,5,0,0,0,0.108695652173913,0,0,0,TRUE,FALSE,FALSE,FALSE
84.65,"Santonian","Northern","good",90,5,9.70186105641575,64.8076078293153,14.532644,73.221345,2,0,0,0,0.0222222222222222,0,0,0,TRUE,FALSE,FALSE,FALSE
84.65,"Santonian","Southern","bad",24,6,6.60667231714071,67.2811723040696,4.797034,73.221345,8,1,0,0,0.333333333333333,0.0416666666666667,0,0,TRUE,TRUE,FALSE,FALSE
87.75,"Coniacian","Northern","good",98,6,2.74630381396379,75.910601808636,4.797034,73.221345,5,2,1,1,0.0510204081632653,0.0204081632653061,0.0102040816326531,0.0102040816326531,TRUE,TRUE,TRUE,TRUE
87.75,"Coniacian","Southern","good",27,6,4.69929774355757,67.5278428630316,4.797034,73.221345,4,2,0,0,0.148148148148148,0.0740740740740741,0,0,TRUE,TRUE,FALSE,FALSE
91.85,"Turonian","Northern","good",148,6,1.37881114344226,79.9453396667681,4.797034,73.221345,12,6,4,3,0.0810810810810811,0.0405405405405405,0.027027027027027,0.0202702702702703,TRUE,TRUE,TRUE,TRUE
91.85,"Turonian","Southern","good",37,6,9.86808779035494e-10,73.8495458967467,4.797034,73.221345,5,4,1,0,0.135135135135135,0.108108108108108,0.027027027027027,0,TRUE,TRUE,TRUE,FALSE
97.2,"Cenomanian","Northern","good",189,6,1.37881114344226,79.1899781183957,4.797034,73.221345,7,4,3,3,0.037037037037037,0.0211640211640212,0.0158730158730159,0.0158730158730159,TRUE,TRUE,TRUE,TRUE
97.2,"Cenomanian","Southern","good",51,6,1.18322279580722e-09,75.910601807077,4.797034,73.221345,7,6,5,2,0.137254901960784,0.117647058823529,0.0980392156862745,0.0392156862745098,TRUE,TRUE,TRUE,TRUE
106.85,"Albian","Northern","good",143,6,1.32057636706172,79.9453396667681,4.797034,73.221345,15,12,8,4,0.104895104895105,0.0839160839160839,0.0559440559440559,0.027972027972028,TRUE,TRUE,TRUE,TRUE
106.85,"Albian","Southern","good",72,6,8.91712143779099e-10,78.1351410875718,4.797034,73.221345,11,7,6,5,0.152777777777778,0.0972222222222222,0.0833333333333333,0.0694444444444444,TRUE,TRUE,TRUE,TRUE
117.3,"Aptian","Northern","good",106,6,1.37445851559862,71.3356621856473,4.797034,73.221345,3,3,2,0,0.0283018867924528,0.0283018867924528,0.0188679245283019,0,TRUE,TRUE,TRUE,FALSE
117.3,"Aptian","Southern","good",48,6,8.91712143779099e-10,80.068681645548,4.797034,73.221345,9,3,3,1,0.1875,0.0625,0.0625,0.0208333333333333,TRUE,TRUE,TRUE,TRUE
123.585,"Barremian","Northern","good",64,6,4.10205669910358,73.4808026835155,4.797034,73.221345,3,3,2,0,0.046875,0.046875,0.03125,0,TRUE,TRUE,TRUE,FALSE
123.585,"Barremian","Southern","good",13,5,8.13449394833837,50.6768705185731,4.797034,49.126503,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
129.185,"Hauterivian","Northern","good",72,6,4.10205669910358,77.2909941664479,4.797034,73.221345,9,8,5,2,0.125,0.111111111111111,0.0694444444444444,0.0277777777777778,TRUE,TRUE,TRUE,TRUE
129.185,"Hauterivian","Southern","good",18,6,4.99268835908881,71.81295692865,4.797034,73.221345,3,1,1,0,0.166666666666667,0.0555555555555556,0.0555555555555556,0,TRUE,TRUE,TRUE,FALSE
134.825,"Valanginian","Northern","good",77,6,1.37445851559862,79.8413809668959,4.797034,73.221345,20,17,12,3,0.25974025974026,0.220779220779221,0.155844155844156,0.038961038961039,TRUE,TRUE,TRUE,TRUE
134.825,"Valanginian","Southern","good",13,6,4.99268835908881,70.618448906107,4.797034,73.221345,1,1,1,0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0,TRUE,TRUE,TRUE,FALSE
140.075,"Berriasian","Northern","good",74,6,5.37796105954232,81.4400897723081,4.797034,73.221345,17,14,9,5,0.22972972972973,0.189189189189189,0.121621621621622,0.0675675675675676,TRUE,TRUE,TRUE,TRUE
140.075,"Berriasian","Southern","bad",13,4,4.99268835908881,63.0271978021308,4.797034,73.221345,1,0,0,0,0.0769230769230769,0,0,0,TRUE,FALSE,FALSE,FALSE
146.15,"Tithonian","Northern","good",94,6,4.0853150516345,78.0709653757689,4.797034,73.221345,17,14,8,4,0.180851063829787,0.148936170212766,0.0851063829787234,0.0425531914893617,TRUE,TRUE,TRUE,TRUE
146.15,"Tithonian","Southern","good",25,6,8.13449394833837,86.6306437505579,4.797034,73.221345,4,1,1,1,0.16,0.04,0.04,0.04,TRUE,TRUE,TRUE,TRUE
152,"Kimmeridgian","Northern","good",73,5,9.82080498363322,79.8413809668959,14.532644,73.221345,10,8,7,3,0.136986301369863,0.10958904109589,0.0958904109589041,0.0410958904109589,TRUE,TRUE,TRUE,TRUE
152,"Kimmeridgian","Southern","good",29,6,1.31882751906416e-09,84.0625449011338,4.797034,73.221345,4,3,3,2,0.137931034482759,0.103448275862069,0.103448275862069,0.0689655172413793,TRUE,TRUE,TRUE,TRUE
158.15,"Oxfordian","Northern","good",102,6,4.0853150516345,78.7886686497093,4.797034,73.221345,9,7,6,4,0.0882352941176471,0.0686274509803922,0.0588235294117647,0.0392156862745098,TRUE,TRUE,TRUE,TRUE
158.15,"Oxfordian","Southern","good",49,6,1.31882751906416e-09,82.3823402160855,4.797034,73.221345,4,3,3,3,0.0816326530612245,0.0612244897959184,0.0612244897959184,0.0612244897959184,TRUE,TRUE,TRUE,TRUE
163.4,"Callovian","Northern","good",82,6,2.44051705261401,79.9453396667561,4.797034,73.221345,13,9,3,1,0.158536585365854,0.109756097560976,0.0365853658536585,0.0121951219512195,TRUE,TRUE,TRUE,TRUE
163.4,"Callovian","Southern","good",40,5,1.31882751906416e-09,78.1351410891036,4.797034,73.221345,4,3,3,3,0.1,0.075,0.075,0.075,TRUE,TRUE,TRUE,TRUE
