"bin_midpoint","stage","era","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_mean_Northern","k_mean_Southern","sampling_profile_dissim","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_cv_asym","k_median_diff","k_median_asym","k_median_diff_signed","k_mean_diff","k_mean_asym","k_mean_diff_signed","method_group","slope_metric","qc_name"
200.45,"Hettangian","Mesozoic",0.37055398312925,0.108788124078246,1,0.5,1.21333764274175,1.27234524442128,1.38888888888889,0.611111111111111,0.727272727272727,0.261765859051004,0.261765859051004,0.05900760167953,-0.05900760167953,0.0263108236458612,0.5,0.287682072451781,0.5,0.777777777777779,0.393904285707089,0.777777777777779,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
203.55,"Rhaetian","Mesozoic",-0.17710902111568,-0.254044212840588,0.5,0,1.55126306998506,1.54348726628258,1.22222222222222,0.666666666666667,0.727272727272727,0.076935191724908,0.076935191724908,0.00777580370247999,0.00777580370247999,0.00305247920974567,0.5,0.405465108108164,0.5,0.555555555555553,0.28768207245178,0.555555555555553,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
216.5,"Norian","Mesozoic",-0.532038951569952,-0.534931285154103,2,0.5,0.454700476681744,1.15044748327106,2.16666666666667,0.666666666666667,0.230769230769231,0.00289233358415109,0.00289233358415109,0.695747006589316,-0.695747006589316,0.390875930756036,1.5,0.693147180559945,1.5,1.5,0.641853886172396,1.5,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
232.15,"Carnian","Mesozoic",-0.277029298822184,-0.126790880841987,1,0,0.955394632947723,1.49963534702269,1.61111111111111,0.611111111111111,2.18181818181818,0.150238417980197,-0.150238417980197,0.544240714074967,-0.544240714074967,0.245552828692486,1,0.693147180559945,1,0.999999999999999,0.482851771723584,0.999999999999999,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
244.082,"Anisian","Mesozoic",0.156478702671627,-0.0697518298434997,2,0,0.890373038279546,1.99939966980488,2.05555555555556,0.388888888888889,0.666023166023166,0.226230532515127,0.226230532515127,1.10902663152533,-1.10902663152533,0.461637974231579,2,1.09861228866811,2,1.66666666666667,0.788457360364271,1.66666666666667,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
248.3,"Olenekian","Mesozoic",-0.0753060757414205,-0.454915667683477,2,1,0.791014288768464,1.12911910974246,2.05555555555556,0.777777777777778,0.607142857142857,0.379609591942057,0.379609591942057,0.338104820973996,-0.338104820973996,0.172926229537243,1,0.405465108108164,1,1.27777777777778,0.541597282432746,1.27777777777778,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
250.901,"Induan","Mesozoic",-0.2470809474552,0.665850631727148,2,1,1.01674117526194,1.04109770979986,2.16666666666667,0.722222222222222,0.769230769230769,0.912931579182348,-0.912931579182348,0.02435653453792,-0.02435653453792,0.0120048270721078,1,0.405465108108164,1,1.44444444444445,0.609064063349405,1.44444444444445,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
253.021,"Changhsingian","Palaeozoic",-0.455091409707199,0.124045031690422,1,0,1.28990912324027,1.27331203144075,1.55555555555556,0.888888888888889,0.107142857142857,0.579136441397621,-0.579136441397621,0.01659709179952,0.01659709179952,0.00727431979477775,1,0.693147180559945,1,0.666666666666671,0.302280871872935,0.666666666666671,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
256.825,"Wuchiapingian","Palaeozoic",-0.79542022885156,-0.436305021377679,2,1,1.22440435233382,0.986973984995969,2.55555555555556,1.66666666666667,0.278260869565218,0.359115207473881,-0.359115207473881,0.237430367337851,0.237430367337851,0.112876302082047,1,0.405465108108164,1,0.88888888888889,0.287682072451781,0.88888888888889,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
261.895,"Capitanian","Palaeozoic",-0.467676122111204,-0.162465373742757,1,1,0.996316746232607,0.992747976415659,1.33333333333333,0.944444444444444,0.698529411764706,0.305210748368447,-0.305210748368447,0.00356876981694798,0.00356876981694798,0.00178927694444646,0,0,0,0.388888888888886,0.182321556793953,0.388888888888886,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
265.59,"Wordian","Palaeozoic",-0.191894082535522,-0.36660929479569,1,1,0.840565011483328,0.906714131847329,1.27777777777778,1.61111111111111,0.419790104947526,0.174715212260168,0.174715212260168,0.066149120364001,-0.066149120364001,0.0353088147968268,0,0,0,0.33333333333333,0.136575535005749,-0.33333333333333,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
270.65,"Roadian","Palaeozoic",-0.689053779944679,0.0511664919776388,1.5,1,0.647462495495476,1.03943839301286,1.94444444444444,1.55555555555556,1.09285714285714,0.740220271922318,-0.740220271922318,0.391975897517384,-0.391975897517384,0.213438249771075,0.5,0.22314355131421,0.5,0.38888888888888,0.141650517063024,0.38888888888888,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
278.85,"Kungurian","Palaeozoic",-0.321710306183173,-0.023614526658184,2,1.5,0.825463780220329,1.09812674721144,2.05555555555556,2,0.647522522522522,0.298095779524989,-0.298095779524989,0.272662966991111,-0.272662966991111,0.139210840602789,0.5,0.182321556793955,0.5,0.0555555555555598,0.0183491386681979,0.0555555555555598,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
286.7,"Artinskian","Palaeozoic",-1.07365738649001,-0.196535563101667,1,1,1.29741674135237,1.39579199529072,1.61111111111111,1.66666666666667,1.05747126436782,0.877121823388343,-0.877121823388343,0.09837525393835,-0.09837525393835,0.0419285273779307,0,0,0,0.05555555555556,0.0210534091978341,-0.05555555555556,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
291.81,"Sakmarian","Palaeozoic",-0.0201407333664402,-0.0327889946098549,1,1.5,1.03113078865462,1.01459931239178,1.72222222222222,2,0.594982078853047,0.0126482612434147,0.0126482612434147,0.0165314762628399,0.0165314762628399,0.00817235349746567,0.5,0.22314355131421,-0.5,0.27777777777778,0.0971637484536486,-0.27777777777778,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
296.21,"Asselian","Palaeozoic",-0.16379765769486,-0.383361976439353,1,1,1.34164078649987,1.13759291798904,1.11111111111111,1,1.25,0.219564318744493,0.219564318744493,0.20404786851083,0.20404786851083,0.0911714831739035,0,0,0,0.11111111111111,0.0540672212702752,0.11111111111111,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
301.3,"Gzhelian","Palaeozoic",-0.933443823223369,-1.99353230170868,0,0,1.4142135623731,2.40880736904728,0.5,0.555555555555556,1.55555555555556,1.06008847848531,1.06008847848531,0.99459380667418,-0.99459380667418,0.344988897953357,0,0,0,0.055555555555556,0.0363676441708752,-0.055555555555556,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
311.1,"Moscovian","Palaeozoic",-1.62854256475202,-0.383240705227058,0,0,1.23669388480168,1.83293700111903,0.5,0.944444444444444,0.0326797385620915,1.24530185952496,-1.24530185952496,0.59624311631735,-0.59624311631735,0.236315151782486,0,0,0,0.444444444444444,0.259511195485084,-0.444444444444444,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
319.3,"Bashkirian","Palaeozoic",-0.151199909697573,-0.200922309317454,0,0,1.44058811519707,1.32842232831014,0.833333333333333,1,0.55,0.049722399619881,0.049722399619881,0.11216578688693,0.11216578688693,0.0470481151600324,0,0,0,0.166666666666667,0.0870113769896299,-0.166666666666667,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
