"bin_midpoint","stage","era","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","sampling_profile_dissim","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff_signed"
97.2,"Cenomanian","Mesozoic",-0.414138322643402,-0.34616087610593,6.5,1,0.812699206348819,0.666666666666667,0.75,0.067977446537472,-0.067977446537472,0.146032539682152,0.146032539682152,1.32175583998232,5.5
106.85,"Albian","Mesozoic",-0.454879344540929,0.08816731017355,5,2.5,0.691214711777591,0.731560014900802,0.473684210526316,0.543046654714479,-0.543046654714479,0.040345303123211,-0.040345303123211,0.538996500732687,2.5
117.3,"Aptian","Mesozoic",-0.192292089952889,0.0603936065034233,2.5,1,1.04880884817015,0.559016994374947,0.5625,0.252685696456312,-0.252685696456312,0.489791853795203,0.489791853795203,0.559615787935423,1.5
123.585,"Barremian","Mesozoic",-0.470207882778659,-1.0699368221927,2,1,0.692820323027551,0,0,0.599728939414041,0.599728939414041,0.692820323027551,0.692820323027551,0.405465108108164,1
158.15,"Oxfordian","Mesozoic",-0.345292816433499,-0.444644400891505,2,4.5,0.894427190999916,0.504791852960024,1.2,0.099351584458006,0.099351584458006,0.389635338039892,0.389635338039892,0.606135803570316,-2.5
163.4,"Callovian","Mesozoic",-1.12921548120311,-0.082541336745828,3,3.5,0.936341877260176,0.455420034042649,0.9,1.04667414445728,-1.04667414445728,0.480921843217527,0.480921843217527,0.117783035656384,-0.5
166.75,"Bathonian","Mesozoic",-0.435937936784485,-0.507638927380946,6,3,0.614181516256589,0.272165526975909,1.125,0.071700990596461,0.071700990596461,0.34201598928068,0.34201598928068,0.559615787935423,3
169.55,"Bajocian","Mesozoic",-0.563628879193448,-0.450885572212344,3,2.5,1.10581642433461,0.516397779494322,0.9,0.112743306981104,-0.112743306981104,0.589418644840288,0.589418644840288,0.133531392624523,0.5
179.45,"Toarcian","Mesozoic",-0.0737369934467504,-0.353029446394217,4,1.5,1.10601478202642,0.632455532033676,0.375,0.279292452947467,0.279292452947467,0.473559249992744,0.473559249992744,0.693147180559945,2.5
196.2,"Sinemurian","Mesozoic",-0.257088014509088,-0.141940639227687,3,2.5,1.12880351880502,0.74965556829412,0.409090909090909,0.115147375281401,-0.115147375281401,0.3791479505109,0.3791479505109,0.133531392624523,0.5
