"bin_midpoint","slope","intercept","quantile","hemisphere","label","color","n_cells","sum_nT","mean_nT","median_nT","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","sampling_profile_dissim"
106.85,-0.347722085853726,27.5434065559639,"q50","Northern","good","Northern",36,2175,60.4166666666667,21,6,1.320576367,79.94533967,78.624763303,0.803017100255697,1.6993112212,0.166666666666667,1,13,6,5,0.691214711777591,0.166666666666667,0.361111111111111,0.473684210526316
117.3,-0.296363407641462,29.108570349464,"q50","Northern","good","Northern",24,1881,78.375,36.5,6,7.265914649,70.82154197,63.555627321,1.03457700900085,1.954963814,0.166666666666667,1,12,4,2.5,1.04880884817015,0.25,0.5,0.5625
123.585,-0.495698399495977,59.841274264381,"q50","Northern","good","Northern",10,180,18,11.5,4,25.07091636,72.81388293,47.74296657,0.699139452168766,1.2091164624,0,1,5,2.5,2,0.692820323027551,0.4,0.5,0
129.185,-0.798521587179462,63.5591255171381,"q50","Northern","bad","Bad hemisphere",15,854,56.9333333333333,21,3,31.67335741,58.28252559,26.60916818,0.564953435707854,1.14251136181818,0,1,10,5,4,0.916515138991168,0.2,0.666666666666667,0
134.825,0.609948062977894,-4.31060706774969,"q50","Northern","bad","Bad hemisphere",19,958,50.4210526315789,24,3,31.67335741,79.84138097,48.16802356,0.851146133052507,1.6993112212,0.0526315789473684,3,9,6.33333333333333,7,0.48237638894272,0.473684210526316,0.473684210526316,0.642857142857143
140.075,-0.157915531770193,37.0856209991947,"q50","Northern","good","Northern",23,619,26.9130434782609,17,4,25.32134379,77.73177818,52.41043439,0.801979065501204,1.73081931714286,0.0869565217391304,1,12,5.75,5,0.844568248367157,0.173913043478261,0.521739130434783,0
146.15,-0.0211152443194044,21.6198517650484,"q50","Northern","good","Northern",21,2430,115.714285714286,10,4,5.37796106,77.29099417,71.91303311,0.781026389270961,1.6993112212,0.0952380952380952,1,9,5.25,5.5,0.666666666666667,0.19047619047619,0.428571428571429,0
152,-0.825249934348286,85.3557981265014,"q50","Northern","bad","Bad hemisphere",10,1666,166.6,49,3,33.81714964,70.73372045,36.91657081,0.92343410820296,1.96382282307692,0.3,3,4,3.33333333333333,3,0.173205080756888,0.9,0.4,1.125
158.15,-0.349471082139337,27.6635429210479,"q50","Northern","good","Northern",25,3673,146.92,41,5,5.02e-09,73.8495459,73.84954589498,0.562788787027431,1.971219225,0.08,2,12,5,2,0.894427190999916,0.4,0.48,1.2
163.4,-1.48954294070624,75.0404056245147,"q50","Northern","good","Northern",24,2396,99.8333333333333,23,5,5.02e-09,53.1478836,53.14788359498,0.622313536551141,1.82094288210526,0.0416666666666667,1,11,4.8,3,0.936341877260176,0.208333333333333,0.458333333333333,0.9
166.75,-0.558219839295392,47.9835241226754,"q50","Northern","good","Northern",26,3255,125.192307692308,56,5,5.02e-09,53.1478836,53.14788359498,0.483472671320319,1.68514435181818,0.0384615384615385,1,9,5.2,6,0.614181516256589,0.192307692307692,0.346153846153846,1.125
169.55,-0.437998777536638,32.6956523213281,"q50","Northern","good","Northern",29,1545,53.2758620689655,21,6,5.02e-09,67.89509959,67.89509958498,0.690885482163538,1.86916465757576,0.0689655172413793,1,15,4.83333333333333,3,1.10581642433461,0.206896551724138,0.517241379310345,0.9
172.8,0.325832112086447,5.63563477803458,"q50","Northern","good","Northern",20,1128,56.4,33,5,17.90842433,74.43377065,56.52534632,0.599925129184016,1.91630236119403,0.1,1,11,4,3,1,0.25,0.55,0
179.45,-0.231368741677231,25.9281299895929,"q50","Northern","good","Northern",38,5016,132,28,6,5.02e-09,75.48801388,75.48801387498,0.587582725916287,1.92666515866667,0.0789473684210526,1,20,6.33333333333333,4,1.10601478202642,0.157894736842105,0.526315789473684,0.375
188.55,-0.0488481210598838,18.7282448923484,"q50","Northern","good","Northern",39,4996,128.102564102564,33,6,4.863490843,73.66054641,68.797055567,0.640999386849255,1.6993112212,0.102564102564103,1,18,6.5,5,0.966908083844349,0.153846153846154,0.461538461538462,0
196.2,-0.258609740614779,32.8348985638444,"q50","Northern","good","Northern",29,1350,46.551724137931,22,6,2.430801149,69.13842977,66.707628621,0.874549052826048,1.95700807730769,0.206896551724138,1,15,4.83333333333333,3,1.12880351880502,0.206896551724138,0.517241379310345,0.409090909090909
200.45,0.151304731315195,3.22770791057339,"q50","Northern","good","Northern",16,727,45.4375,29.5,5,15.54626474,64.93572783,49.38946309,0.842844848256472,1.84790677747748,0.1875,1,10,3.2,1,1.21834929310112,0.3125,0.625,0.75
203.55,0.139625062267741,14.5389964300039,"q50","Northern","good","Northern",19,1761,92.6842105263158,16,5,15.54626474,73.66054641,58.11428167,0.770241560498872,1.92666515866667,0.210526315789474,1,12,3.8,1,1.25380307890227,0.263157894736842,0.631578947368421,0.5625
216.5,-0.00928512367369392,16.1143099289647,"q50","Northern","good","Northern",31,1462,47.1612903225806,30,6,2.430801149,80.29781125,77.867010101,0.862299482058298,1.98845886609756,0.161290322580645,3,8,5.16666666666667,4,0.431342313559917,0.580645161290323,0.258064516129032,0.6
232.15,-0.0792108213780255,9.3947271269428,"q50","Northern","good","Northern",22,2760,125.454545454545,25,6,7.032486491,86.63064375,79.598157259,0.824136363268125,1.80235311304348,0.181818181818182,1,6,3.66666666666667,4,0.507790547046143,0.272727272727273,0.272727272727273,0
