"bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_min_Northern","k_min_Southern","k_median_Northern","k_median_Southern","n_cells_Northern","n_cells_Southern","n_valid_lat_bins_Northern","n_valid_lat_bins_Southern","k_cv_Northern","k_cv_Southern","slope_diff_abs","k_min_asym","k_median_asym","n_cells_asym","n_lat_bins_diff","k_cv_diff"
196.2,"Sinemurian","Mesozoic",0.409090909090909,-0.257088014509088,-0.141940639227687,1,1,3,2.5,29,11,6,4,1.12880351880502,0.74965556829412,0.115147375281401,0,0.133531392624523,0.916290731874155,2,0.3791479505109
200.45,"Hettangian","Mesozoic",0.75,0.16216484315201,0.0366384214802902,1,1,1,1,16,6,5,4,1.21834929310112,0.666666666666667,0.12552642167172,0,0,0.887303195000903,1,0.551682626434453
203.55,"Rhaetian","Mesozoic",0.5625,0.154011414407398,-0.942420661560719,1,1,1,1,19,8,5,5,1.25380307890227,0.559016994374947,1.09643207596812,0,0,0.798507696217772,0,0.694786084527323
216.5,"Norian","Mesozoic",0.6,-0.00504662417293487,-0.481988051483252,3,1,4,2.5,31,15,6,6,0.431342313559917,0.606630035524124,0.476941427310317,0.693147180559945,0.356674943938732,0.693147180559945,0,0.175287721964207
244.082,"Anisian","Mesozoic",0,-0.28568553077194,-0.598173321586558,1,1,2.5,1.5,23,7,6,4,0.863894553531812,0.547101204432193,0.312487790814618,0,0.336472236621213,1.09861228866811,2,0.316793349099619
248.3,"Olenekian","Mesozoic",1.125,-0.134418156416566,0.139833806109722,2,1,3,1,24,4,6,3,0.689202437604511,0.433012701892219,0.274251962526288,0.405465108108164,0.693147180559945,1.6094379124341,3,0.256189735712292
250.901,"Induan","Mesozoic",1,-0.0771760407306079,0.499844985878431,2,1,5,2,38,9,5,5,0.736136880563125,0.464811125852264,0.577021026609039,0.405465108108164,0.693147180559945,1.3609765531356,0,0.271325754710861
253.021,"Changhsingian","Paleozoic",0.9,-0.612408822164588,0.53378804752888,1,1,3,2,23,10,5,5,0.822072626138654,0.612372435695794,1.14619686969347,0,0.287682072451781,0.780158557549575,0,0.20970019044286
256.825,"Wuchiapingian","Paleozoic",0.703125,-0.702600745164953,-0.151541082447987,1,1,4.5,4,42,32,6,6,1.00203873810001,0.868727517694703,0.551059662716966,0,0.0953101798043249,0.264692554227082,0,0.133311220405307
261.895,"Capitanian","Paleozoic",1.28571428571429,-0.271888806460168,-0.0590925696829231,1,1,3.5,2,26,14,6,6,0.739422451735256,0.44262666813799,0.212796236777245,0,0.405465108108164,0.587786664902119,0,0.296795783597266
265.59,"Wordian","Paleozoic",1,-0.617596284560109,-0.165170674002474,2,1,2.5,3.5,20,27,6,6,0.525357021462548,0.699205898780101,0.452425610557635,0.405465108108164,0.251314428280906,0.287682072451781,0,0.173848877317553
270.65,"Roadian","Paleozoic",1.07142857142857,-0.665395743422142,-0.331617932386905,4,1,6,5,38,21,6,5,0.326145965996414,0.542940678618637,0.333777811035237,0.916290731874155,0.154150679827258,0.572519192771331,1,0.216794712622223
278.85,"Kungurian","Paleozoic",1.17391304347826,-0.431236796335897,-0.00582310997454988,1,1,7,3,37,23,6,6,0.485584749869745,0.831788107378652,0.425413686361347,0,0.693147180559945,0.45953232937844,0,0.346203357508907
286.7,"Artinskian","Paleozoic",0.978260869565217,-1.53710674105879,-0.183126579117642,2,1,3,3,21,23,4,5,1.00037785756119,0.955038375499513,1.35398016194115,0.405465108108164,0,0.0870113769896298,1,0.0453394820616769
291.81,"Sakmarian","Paleozoic",0.775862068965517,0.0608463407318329,-0.402645279643562,1,5,3,7,24,29,6,4,0.724568837309472,0.362752502024356,0.463491620375395,1.09861228866811,0.693147180559945,0.182321556793955,2,0.361816335285116
296.21,"Asselian","Paleozoic",1.32352941176471,-0.0655250068924464,-0.852720624119512,1,1,3.5,2.5,15,17,4,6,0.666666666666667,0.647593362095195,0.787195617227066,0,0.251314428280906,0.117783035656384,2,0.0190733045714719
301.3,"Gzhelian","Paleozoic",3.5,-0.678208286796762,-1.80410376790862,1,1,1.5,1,6,9,4,3,0.38490017945975,1.15470053837925,1.12589548111186,0,0.22314355131421,0.356674943938732,1,0.7698003589195
311.1,"Moscovian","Paleozoic",3,-0.0861153355319766,-0.23696653121755,1,2,2,2,5,18,3,4,0.346410161513775,1.11111111111111,0.150851195685573,0.405465108108164,0,1.15267950993839,1,0.764700949597335
319.3,"Bashkirian","Paleozoic",1.73076923076923,-0.311412932382994,-0.582338138298898,1,1,1,1,10,13,4,5,1.2,0.842650088469486,0.270925205915904,0,0,0.241162056816888,1,0.357349911530514
338.5,"Visean","Paleozoic",2.15217391304348,0.0309721858670534,-0.242126917938459,1,1,1,2,4,23,3,5,0.433012701892219,1.00330267471429,0.273099103805512,0,0.405465108108164,1.56861591791385,2,0.570289972822071
402.045,"Emsian","Paleozoic",0.5625,-0.198352645448855,-0.289132874571678,1,3,1.5,6,11,48,4,6,1.04446593573419,0.553398590529466,0.090780229122823,0.693147180559945,1.02961941718116,1.40691364832263,2,0.491067345204724
428.65,"Homerian","Paleozoic",0,-0.957914549295996,1.45024740737997,1,2,1,4,8,22,4,4,1,0.859239204773201,2.40816195667597,0.405465108108164,0.916290731874155,0.93826963859293,0,0.140760795226799
435.75,"Telychian","Paleozoic",0.36,-0.592004630507118,-0.200735571652662,1,1,2.5,3,11,25,4,5,0.74965556829412,1.14017542509914,0.391269058854456,0,0.133531392624523,0.773189888233482,1,0.39051985680502
441.8,"Rhuddanian","Paleozoic",0.45,-1.17887903307532,0.989226054705469,1,1,1,3.5,6,20,3,4,0.866025403784439,0.993310961716756,2.16810508778079,0,0.810930216216329,1.09861228866811,1,0.127285557932317
449,"Katian","Paleozoic",0.463235294117647,-0.930513918369098,0.31382634634965,2,3,9,9,24,68,3,6,0.695970545353753,0.716102484401562,1.24434026471875,0.287682072451781,0,1.01523067972906,3,0.020131939047809
463.8,"Darriwilian","Paleozoic",0.76271186440678,-0.703440887331986,0.193770081101983,1,4,10,10,22,59,3,5,0.751032347357196,0.530592401440628,0.897210968433969,0.916290731874155,0,0.958850346292951,2,0.220439945916568
474.2,"Floian","Paleozoic",0.692307692307692,-1.11331052640125,0.465411758209406,1,2,4,5.5,19,39,4,6,0.81309685798291,0.679366220486758,1.57872228461066,0.405465108108164,0.262364264467491,0.693147180559945,2,0.133730637496152
481.975,"Tremadocian","Paleozoic",1,-0.180008300940864,0.306943261691988,4,5,4,7,16,45,3,6,0.433012701892219,0.276485884711036,0.486951562632852,0.182321556793955,0.470003629245736,0.995428052432879,3,0.156526817181183
