"bin_midpoint","slope","intercept","quantile","hemisphere","label","color","bin","stage","short","bottom","top","dur","climate_state","climate_color"
455.5,0.412499704019199,11.3760371032683,"q50","Northern","good","Northern",15,"Sandbian","Sbd",458.2,452.8,5.4,"Warmhouse","#b57a51"
463.8,-0.0446132591098342,10.2405693471601,"q50","Northern","good","Northern",14,"Darriwilian","Dar",469.4,458.2,11.2,"Hothouse","#95484b"
470.35,-2.36371183608157,96.4802945116412,"q50","Northern","bad","Bad hemisphere",13,"Dapingian","Dap",471.3,469.4,1.9,"Hothouse","#95484b"
474.2,-0.50323203715827,26.5227454148841,"q50","Northern","good","Northern",12,"Floian","Flo",477.1,471.3,5.8,"Hothouse","#95484b"
481.975,0.106825073860071,27.2355134555984,"q50","Northern","good","Northern",11,"Tremadocian","Tre",486.85,477.1,9.75,"Hothouse","#95484b"
0.00585,0.212701493836779,20.8590652475719,"q50","Southern","good","Southern",97,"Holocene","Hol",0.0117,0,0.0117,"Coldhouse","#005344"
1.29585,-0.176344646492494,21.2799669993958,"q50","Southern","good","Southern",96,"Pleistocene","Ple",2.58,0.0117,2.5683,"Coldhouse","#005344"
3.09,-0.647328700462964,32.7069322029311,"q50","Southern","good","Southern",95,"Piacenzian","Pia",3.6,2.58,1.02,"Coldhouse","#005344"
4.4665,-0.267698171045636,26.9363133345751,"q50","Southern","good","Southern",94,"Zanclean","Zan",5.333,3.6,1.733,"Coldhouse","#005344"
9.438,-0.744604797384623,50.2392477424414,"q50","Southern","good","Southern",92,"Tortonian","Tor",11.63,7.246,4.384,"Coolhouse","#007d65"
12.725,-0.213231675393261,20.7033677942218,"q50","Southern","good","Southern",91,"Serravallian","Ser",13.82,11.63,2.19,"Transitional","#c8c7c7"
18.215,-0.0666840806175628,16.8131673235115,"q50","Southern","good","Southern",89,"Burdigalian","Bur",20.45,15.98,4.47,"Transitional","#c8c7c7"
25.17,0.57224697217184,-0.885640310968935,"q50","Southern","good","Southern",87,"Chattian","Cht",27.3,23.04,4.26,"Transitional","#c8c7c7"
30.6,0.179081075409683,3.85892140055744,"q50","Southern","good","Southern",86,"Rupelian","Rup",33.9,27.3,6.6,"Transitional","#c8c7c7"
