"bin_midpoint","stage.x","hemisphere","slope","slope_mean","slope_sd","slope_lower_95","slope_upper_95","intercept","slope_se","p_value","r_squared","n_cells_model","n_resamples_valid","prop_negative","prop_positive","k_sample","method","label","color","n_cells","sum_nT","mean_nT","median_nT","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","sampling_profile_dissim","slope_direction","bin","stage.y","short","bottom","top","dur","climate_state","climate_color"
146.15,"Tithonian","Northern",-0.391954039578601,NA,NA,NA,NA,45.8318515612986,0.40126739632277,0.340946888369867,0.047815641181064,21,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",21,2430,115.714285714286,10,4,5.37796106,77.29099417,71.91303311,0.781026389270961,1.6993112212,0.0952380952380952,1,9,5.25,5.5,0.666666666666667,0.19047619047619,0.428571428571429,0,"normal_LDG",66,"Tithonian","Tit",149.2,143.1,6.1,"Warmhouse","#b57a51"
152,"Kimmeridgian","Northern",-1.33420913676689,NA,NA,NA,NA,106.013728393966,0.85718471419805,0.158201352354987,0.232444299352189,10,NA,1,0,NA,"grid_cell_all_cells_OLS","bad","Bad hemisphere",10,1666,166.6,49,3,33.81714964,70.73372045,36.91657081,0.92343410820296,1.96382282307692,0.3,3,4,3.33333333333333,3,0.173205080756888,0.9,0.4,1.125,"normal_LDG",65,"Kimmeridgian","Kim",154.8,149.2,5.6,"Transitional","#c8c7c7"
158.15,"Oxfordian","Northern",-0.26306014108946,NA,NA,NA,NA,32.1595358648729,0.301383458182439,0.391770859863896,0.0320620262972899,25,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",25,3673,146.92,41,5,5.02e-09,73.8495459,73.84954589498,0.562788787027431,1.971219225,0.08,2,12,5,2,0.894427190999916,0.4,0.48,1.2,"normal_LDG",64,"Oxfordian","Oxf",161.5,154.8,6.7,"Transitional","#c8c7c7"
163.4,"Callovian","Northern",-1.18614564168532,NA,NA,NA,NA,63.1755723534759,0.315027030133529,0.00106744295595974,0.391876654709327,24,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",24,2396,99.8333333333333,23,5,5.02e-09,53.1478836,53.14788359498,0.622313536551141,1.82094288210526,0.0416666666666667,1,11,4.8,3,0.936341877260176,0.208333333333333,0.458333333333333,0.9,"normal_LDG",63,"Callovian","Cal",165.3,161.5,3.8,"Coolhouse","#007d65"
166.75,"Bathonian","Northern",-0.209509367715582,NA,NA,NA,NA,35.6238326441962,0.394513596325833,0.600259702641584,0.0116144351768131,26,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",26,3255,125.192307692308,56,5,5.02e-09,53.1478836,53.14788359498,0.483472671320319,1.68514435181818,0.0384615384615385,1,9,5.2,6,0.614181516256589,0.192307692307692,0.346153846153846,1.125,"normal_LDG",62,"Bathonian","Bat",168.2,165.3,2.9,"Coldhouse","#005344"
169.55,"Bajocian","Northern",-0.34132882849439,NA,NA,NA,NA,33.041483970001,0.345183880522888,0.331524690332231,0.034948741705952,29,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",29,1545,53.2758620689655,21,6,5.02e-09,67.89509959,67.89509958498,0.690885482163538,1.86916465757576,0.0689655172413793,1,15,4.83333333333333,3,1.10581642433461,0.206896551724138,0.517241379310345,0.9,"normal_LDG",61,"Bajocian","Baj",170.9,168.2,2.7,"Coolhouse","#007d65"
172.8,"Aalenian","Northern",0.120268120798253,NA,NA,NA,NA,13.2171482229058,0.451138414610761,0.792816352859221,0.00393276126063182,20,NA,0,1,NA,"grid_cell_all_cells_OLS","good","Northern",20,1128,56.4,33,5,17.90842433,74.43377065,56.52534632,0.599925129184016,1.91630236119403,0.1,1,11,4,3,1,0.25,0.55,0,"reverse_LDG",60,"Aalenian","Aal",174.7,170.9,3.8,"Transitional","#c8c7c7"
179.45,"Toarcian","Northern",-0.174632114541366,NA,NA,NA,NA,29.6098534900927,0.26442365867719,0.513184824784524,0.0119705742195217,38,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",38,5016,132,28,6,5.02e-09,75.48801388,75.48801387498,0.587582725916287,1.92666515866667,0.0789473684210526,1,20,6.33333333333333,4,1.10601478202642,0.157894736842105,0.526315789473684,0.375,"normal_LDG",59,"Toarcian","Toa",184.2,174.7,9.5,"Warmhouse","#b57a51"
188.55,"Pliensbachian","Northern",0.0613560374107938,NA,NA,NA,NA,25.8516346655726,0.305980058649007,0.842169751053599,0.00108556273375376,39,NA,0,1,NA,"grid_cell_all_cells_OLS","good","Northern",39,4996,128.102564102564,33,6,4.863490843,73.66054641,68.797055567,0.640999386849255,1.6993112212,0.102564102564103,1,18,6.5,5,0.966908083844349,0.153846153846154,0.461538461538462,0,"reverse_LDG",58,"Pliensbachian","Plb",192.9,184.2,8.7,"Transitional","#c8c7c7"
196.2,"Sinemurian","Northern",-0.248798604657243,NA,NA,NA,NA,30.4577195980986,0.249849398832037,0.328191304796063,0.0354251291635175,29,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",29,1350,46.551724137931,22,6,2.430801149,69.13842977,66.707628621,0.874549052826048,1.95700807730769,0.206896551724138,1,15,4.83333333333333,3,1.12880351880502,0.206896551724138,0.517241379310345,0.409090909090909,"normal_LDG",57,"Sinemurian","Sin",199.5,192.9,6.6,"Transitional","#c8c7c7"
200.45,"Hettangian","Northern",0.0832978527153532,NA,NA,NA,NA,15.498491284227,0.527988245843647,0.876895166918683,0.00177467834610371,16,NA,0,1,NA,"grid_cell_all_cells_OLS","good","Northern",16,727,45.4375,29.5,5,15.54626474,64.93572783,49.38946309,0.842844848256472,1.84790677747748,0.1875,1,10,3.2,1,1.21834929310112,0.3125,0.625,0.75,"reverse_LDG",56,"Hettangian","Het",201.4,199.5,1.9,"Transitional","#c8c7c7"
