"bin_midpoint","hemisphere","stage","n_cells","n_valid_lat_bins","min_abs_lat_bin_mid","max_abs_lat_bin_mid","lat_range_diagnostic","has_tropical","has_temperate","has_polar","sum_nT","mean_nT","median_nT","min_nT","max_nT","has_adjacent_tt","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","pass_tropical","pass_temperate","pass_polar","pass_adjacent_tt","pass_n_lat_bins","label","color","slope_filter_id","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins"
163.4,"Northern","Callovian",24,5,4.797034,49.126503,44.329469,TRUE,TRUE,FALSE,2396,99.8333333333333,23,5,795,TRUE,1,11,4.8,3,0.936341877260176,0.208333333333333,0.458333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
166.75,"Northern","Bathonian",26,5,4.797034,49.126503,44.329469,TRUE,TRUE,FALSE,3255,125.192307692308,56,8,761,TRUE,1,9,5.2,6,0.614181516256589,0.192307692307692,0.346153846153846,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
169.55,"Northern","Bajocian",29,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,1545,53.2758620689655,21,5,303,TRUE,1,15,4.83333333333333,3,1.10581642433461,0.206896551724138,0.517241379310345,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
172.8,"Northern","Aalenian",20,5,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,1128,56.4,33,5,273,TRUE,1,11,4,3,1,0.25,0.55,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
179.45,"Northern","Toarcian",38,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,5016,132,28,5,2636,TRUE,1,20,6.33333333333333,4,1.10601478202642,0.157894736842105,0.526315789473684,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
188.55,"Northern","Pliensbachian",39,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,4996,128.102564102564,33,5,1188,TRUE,1,18,6.5,5,0.966908083844349,0.153846153846154,0.461538461538462,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
196.2,"Northern","Sinemurian",29,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,1350,46.551724137931,22,5,291,TRUE,1,15,4.83333333333333,3,1.12880351880502,0.206896551724138,0.517241379310345,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
200.45,"Northern","Hettangian",16,5,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,727,45.4375,29.5,6,140,TRUE,1,10,3.2,1,1.21834929310112,0.3125,0.625,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
203.55,"Northern","Rhaetian",19,5,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,1761,92.6842105263158,16,5,615,TRUE,1,12,3.8,1,1.25380307890227,0.263157894736842,0.631578947368421,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
216.5,"Northern","Norian",31,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,1462,47.1612903225806,30,5,244,TRUE,3,8,5.16666666666667,4,0.431342313559917,0.580645161290323,0.258064516129032,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
