"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method_group","slope_metric","quantile","slope_filter_id","slope_qc_type","slope_occurrence_min","slope_collection_min","slope_mean","slope_sd","n_resamples_valid","prop_negative","prop_positive","k_sample"
106.85,"Albian","Northern",-0.284173460596525,30.88400221914,0.285259180601901,-0.958704237037265,0.390357315844216,0.352337807813509,0.12416821390978,9,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
106.85,"Albian","Southern",0.113637872473204,22.2254098537107,0.497471847135944,-1.10363188589472,1.33090763084112,0.826897656565052,0.00862178705166645,8,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
117.3,"Aptian","Northern",-0.0316173318828023,26.8238290822192,0.312861164054512,-0.77141642778765,0.708181764022045,0.922337595456696,0.0014568536200822,9,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
117.3,"Aptian","Southern",0.0766105204148562,8.6659522084085,0.167736089802899,-0.354568825213137,0.50778986604285,0.667019634439423,0.0400499897144004,7,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
123.585,"Barremian","Northern",-0.104495652990755,9.57987107863772,0.0695095968447338,-0.274579509278443,0.0655882032969327,0.183447058376287,0.273607048035486,8,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
123.585,"Barremian","Southern",0.0744228342423756,-0.850023271576198,0.02954053961818,-0.0526798491840586,0.20152551766881,0.12799316584147,0.760395918819182,4,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
129.185,"Hauterivian","Northern",-0.212880352086781,34.4721562023402,0.203783814051075,-0.736723322883162,0.310962618709601,0.344040685739025,0.17915297053083,7,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
129.185,"Hauterivian","Southern",-0.131884861155679,35.0679454452022,0.178336796650028,-2.39786871138448,2.13409898907312,0.594623083745212,0.353545825862302,3,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
134.825,"Valanginian","Northern",0.0935001409738323,4.78039691574947,0.0556495939058497,-0.0426695098657962,0.229669791813461,0.143926921648778,0.319954014254116,8,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
134.825,"Valanginian","Southern",NA,NA,NA,NA,NA,NA,NA,2,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
140.075,"Berriasian","Northern",0.168493542724115,19.8202589392093,0.262580337236294,-0.50649070257076,0.84347778801899,0.549334598798063,0.0760858236988353,7,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
140.075,"Berriasian","Southern",NA,NA,NA,NA,NA,NA,NA,2,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
146.15,"Tithonian","Northern",-0.0241050587916993,11.0589767837893,0.100587758125224,-0.28267412271578,0.234464005132381,0.820121814936234,0.0113552420493711,7,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
146.15,"Tithonian","Southern",0.0587248378542264,4.29529453688517,0.0775851684725652,-0.188185794896103,0.305635470604556,0.504123939130866,0.160348236309276,5,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
152,"Kimmeridgian","Northern",-0.244637298416998,28.176881891207,0.288971707793626,-1.04695138206126,0.557676785227262,0.444906367597329,0.15194865225312,6,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
