"method_group","slope_metric","qc_name","group1","group2","n1","n2","median1","median2","median_diff","p_value","w_statistic","iqr1","iqr2","test_note","p_adjusted"
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate","Coldhouse","Hothouse",24,22,-0.84417311661836,0.0525089519259857,-0.896682068544346,0.000289322945634604,107,0.831454460228512,0.741940766813263,"Tested",0.000723307364086511
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate","Coolhouse","Warmhouse",30,25,-0.385011285310135,-0.110102477222273,-0.274908808087862,0.000256778304438738,169,0.377571792229869,0.450715892109022,"Tested",0.000723307364086511
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate","Coolhouse","Transitional",30,31,-0.385011285310135,-0.14511380686708,-0.239897478443055,0.00544463569375409,288,0.377571792229869,0.609322595003665,"Tested",0.00907439282292349
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate","Coolhouse","Hothouse",30,22,-0.385011285310135,0.0525089519259857,-0.437520237236121,0.00463006609509841,189,0.377571792229869,0.741940766813263,"Tested",0.00907439282292349
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate","Coldhouse","Coolhouse",24,30,-0.84417311661836,-0.385011285310135,-0.459161831308225,0.00655795200627639,217,0.831454460228512,0.377571792229869,"Tested",0.00936850286610913
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate","Transitional","Warmhouse",31,25,-0.14511380686708,-0.110102477222273,-0.0350113296448072,0.209659311656044,338,0.609322595003665,0.450715892109022,"Tested",0.24610090514092
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate","Transitional","Hothouse",31,22,-0.14511380686708,0.0525089519259857,-0.197622758793066,0.221490814626828,298,0.609322595003665,0.741940766813263,"Tested",0.24610090514092
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate","Warmhouse","Hothouse",25,22,-0.110102477222273,0.0525089519259857,-0.162611429148258,0.49574734154462,274,0.450715892109022,0.741940766813263,"Tested",0.49574734154462
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate_polar","Coolhouse","Warmhouse",19,16,-0.398235417823693,-0.129967949926479,-0.268267467897214,0.000238407479637366,46,0.336534314474229,0.299599822052841,"Tested",0.00238407479637366
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate_polar","Coolhouse","Hothouse",19,11,-0.398235417823693,0.110193615826712,-0.508429033650405,0.000972102123522077,32,0.336534314474229,0.382228060816871,"Tested",0.00486051061761038
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate_polar","Coldhouse","Warmhouse",10,16,-0.67622780710626,-0.129967949926479,-0.546259857179782,0.00388870012084593,29,0.464728971703363,0.299599822052841,"Tested",0.0129623337361531
"percentile_latbin_OLS","q90","collection5_k1_tropical_temperate_polar","Coldhouse","Hothouse",10,11,-0.67622780710626,0.110193615826712,-0.786421422932973,0.00621256326002209,19,0.464728971703363,0.382228060816871,"Tested",0.0155314081500552
